Stato,Entity,Code
Mauritius,Mauritius,MUS
Mayotte,France,FRA
Mexico,Mexico,MEX
Micronesia (country),Micronesia,FSM
Moldova,Moldova,MDA
Monaco,Monaco,MCO
Mongolia,Mongolia,MNG
Montenegro,Montenegro,MNE
Montserrat,United Kingdom,UK
Morocco,Morocco,MAR
Mozambique,Mozambique,MOZ
Myanmar,Burma,MMR
Namibia,Namibia,NAM
Nauru,Nauru,NRU
Nepal,Nepal,NPL
Netherlands,Netherlands,ABW
New Caledonia,France,FRA
New Zealand,New Zealand,NZL
Nicaragua,Nicaragua,NIC
Niger,Niger,NER
Nigeria,Nigeria,NGA
Niue,Niue,NIU
North Korea,North Korea,PRK
North Macedonia,North Macedonia,MKD
Northern Mariana Islands,Northern Mariana Islands,MNP
Norway,Norway,NOR
Oman,Oman,OMN
Pakistan,Pakistan,PAK
Palau,Palau,PLW
Palestine,Palestine,PSE
Panama,Panama,PAN
Papua New Guinea,Papua New Guinea,PNG
Paraguay,Paraguay,PRY
Peru,Peru,PER
Philippines,Philippines,PHL
Poland,Poland,POL
Portugal,Portugal,PRT
Puerto Rico,Puerto Rico,PRI
Qatar,Qatar,QAT
Reunion,France,FRA
Romania,Romania,ROU
Russia,Russia,RUS
Rwanda,Rwanda,RWA
Saint Helena,Saint Helena,SHN
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA
Saint Lucia,Saint Lucia,LCA
Saint Martin (French part),France,FRA
Saint Pierre and Miquelon,France,FRA
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT
Samoa,Samoa,WSM
San Marino,San Marino,SMR
Sao Tome and Principe,Sao Tome and Principe,STP
Saudi Arabia,Saudi Arabia,SAU
Senegal,Senegal,SEN
Serbia,Serbia,SRB
Seychelles,Seychelles,SYC
Sierra Leone,Sierra Leone,SLE
Singapore,Singapore,SGP
Sint Maarten (Dutch part),Netherlands,ABW
Slovakia,Slovakia,SVK
Slovenia,Slovenia,SVN
Solomon Islands,Solomon Islands,SLB
Somalia,Somalia,SOM
South Africa,South Africa,ZAF
South Korea,South Korea,KOR
South Sudan,South Sudan,SSD
Spain,Spain,ESP
Sri Lanka,Sri Lanka,LKA
Sudan,Sudan,SDN
Suriname,Suriname,SUR
Sweden,Sweden,SWE
Switzerland,Switzerland,CHE
Syria,Syria,SYR
Taiwan,Taiwan,TWN
Tajikistan,Tajikistan,TJK
Tanzania,Tanzania,TZA
Thailand,Thailand,THA
Timor,Timor-Leste,TLS
Togo,Togo,TGO
Tokelau,Tokelau,TKL
Tonga,Tonga,TON
Trinidad and Tobago,Trinidad and Tobago,TTO
Tunisia,Tunisia,TUN
Turkey,Turkey,TUR
Turkmenistan,Turkmenistan,TKM
Turks and Caicos Islands,United Kingdom,UK
Tuvalu,Tuvalu,TUV
Uganda,Uganda,UGA
Ukraine,Ukraine,UKR
United Arab Emirates,United Arab Emirates,ARE
United Kingdom,United Kingdom,UK
United States,US,USA
United States Virgin Islands,United States Virgin Islands,VIR
Uruguay,Uruguay,URY
Uzbekistan,Uzbekistan,UZB
Vanuatu,Vanuatu,VUT
Vatican,Vatican,VAT
Venezuela,Venezuela,VEN
Vietnam,Vietnam,VNM
Wallis and Futuna,France,FRA
Western Sahara,Western Sahara,ESH
Yemen,Yemen,YEM
Zambia,Zambia,ZMB
Zimbabwe,Zimbabwe,ZWE

